interface_key,category,node_name,detected_signals,total_pin_facts,pinctrl_fact_count,controller_dts_count,non_pinctrl_hw_count,pre_linux_count,gpio_candidate_count,alt_function_review_count,out_of_scope_count,unmatched_or_conflict_count,pinctrl_fact_possible
DDR0,ddr,,DDR0_A0; DDR0_A1; DDR0_A2; DDR0_A3; DDR0_A4; DDR0_A5; DDR0_CAL0; DDR0_CK0; DDR0_CK0_n; DDR0_CKE0; DDR0_CS0_n; DDR0_CS1_n; DDR0_DM0; DDR0_DM1; DDR0_DQ0; DDR0_DQ1; DDR0_DQ10; DDR0_DQ11; DDR0_DQ12; DDR0_DQ13; DDR0_DQ14; DDR0_DQ15; DDR0_DQ2; DDR0_DQ3; DDR0_DQ4; DDR0_DQ5; DDR0_DQ6; DDR0_DQ7; DDR0_DQ8; DDR0_DQ9; DDR0_DQS0; DDR0_DQS0_n; DDR0_DQS1; DDR0_DQS1_n; DDR0_RESET0_n,35,0,0,0,35,0,0,0,0,no
GPIO0,unknown,,GPIO0_13; GPIO0_14; GPIO0_45; GPIO0_51; GPIO0_60,5,5,0,0,0,0,0,0,0,yes
GPIO1,unknown,,GPIO1_70,1,1,0,0,0,0,0,0,0,yes
GPMC0,gpmc,,GPMC0_AD0; GPMC0_AD1; GPMC0_AD10; GPMC0_AD11; GPMC0_AD12; GPMC0_AD13; GPMC0_AD14; GPMC0_AD15; GPMC0_AD2; GPMC0_AD3; GPMC0_AD4; GPMC0_AD5; GPMC0_AD6; GPMC0_AD7; GPMC0_AD8; GPMC0_AD9; GPMC0_BE0n_CLE; GPMC0_BE1n; GPMC0_CLK; GPMC0_CSn0; GPMC0_OEn_REn; GPMC0_WEn,22,20,0,0,0,2,0,0,0,yes
I2C0,i2c,main_i2c0,I2C0_SCL; I2C0_SDA,2,2,0,0,0,0,0,0,0,yes
I2C1,i2c,main_i2c1,I2C1_SCL; I2C1_SDA,2,2,0,0,0,0,0,0,0,yes
MCU_DEBUG0,debug,,EMU0; EMU1; TCK; TDI; TDO; TMS; TRSTn,7,0,0,7,0,0,0,0,0,no
MCU_GPIO0,unknown,,MCU_GPIO0_5,1,1,0,0,0,0,0,0,0,yes
MCU_OSC0,clock,,MCU_OSC0_XI,1,0,0,1,0,0,0,0,0,no
MCU_SYSTEM0,system,,MCU_PORz; MCU_RESETSTATz; MCU_RESETz; MCU_SAFETY_ERRORn,4,0,0,4,0,0,0,0,0,no
MCU_UART0,uart,mcu_uart0,MCU_UART0_RXD; MCU_UART0_TXD,2,2,0,0,0,0,0,0,0,yes
MMC0,mmc,sdhci0,MMC0_CALPAD; MMC0_CLK; MMC0_CMD; MMC0_DAT0; MMC0_DAT1; MMC0_DAT2; MMC0_DAT3; MMC0_DAT4; MMC0_DAT5; MMC0_DAT6; MMC0_DAT7; MMC0_DS,12,0,12,0,0,0,0,0,0,no
OSPI0,ospi,ospi0,OSPI0_CLK; OSPI0_CSn0; OSPI0_D0; OSPI0_D1; OSPI0_D2; OSPI0_D3; OSPI0_D4; OSPI0_D5; OSPI0_D6; OSPI0_D7; OSPI0_DQS; OSPI0_LBCLKO,12,12,0,0,0,0,0,0,0,yes
PRU_ICSSG0_PRU0,pru,,PRG0_PRU0_GPO14; PRG0_PRU0_GPO16; PRG0_PRU0_GPO18; PRG0_PRU0_GPO19; PRG0_PRU0_GPO4; PRG0_PRU0_GPO8; PRG0_PRU0_GPO9,7,0,0,0,0,0,7,0,0,no
PRU_ICSSG0_PRU1,pru,,PRG0_PRU1_GPO12; PRG0_PRU1_GPO13; PRG0_PRU1_GPO14; PRG0_PRU1_GPO15; PRG0_PRU1_GPO18; PRG0_PRU1_GPO19,6,2,0,0,0,0,4,0,0,yes
PRU_ICSSG1_PRU0,pru,,PRG1_PRU0_GPO10; PRG1_PRU0_GPO5; PRG1_PRU0_GPO8; PRG1_PRU0_GPO9,4,3,0,0,0,1,0,0,0,yes
PRU_ICSSG1_PRU1,pru,,PRG1_PRU1_GPO0; PRG1_PRU1_GPO1; PRG1_PRU1_GPO10; PRG1_PRU1_GPO11; PRG1_PRU1_GPO12; PRG1_PRU1_GPO13; PRG1_PRU1_GPO14; PRG1_PRU1_GPO15; PRG1_PRU1_GPO16; PRG1_PRU1_GPO17; PRG1_PRU1_GPO18; PRG1_PRU1_GPO19; PRG1_PRU1_GPO2; PRG1_PRU1_GPO3; PRG1_PRU1_GPO4; PRG1_PRU1_GPO5; PRG1_PRU1_GPO6; PRG1_PRU1_GPO7; PRG1_PRU1_GPO8; PRG1_PRU1_GPO9,20,19,0,0,0,1,0,0,0,yes
SERDES0,serdes,,SERDES0_REFCLK0N; SERDES0_REFCLK0P; SERDES0_REXT,3,0,0,0,0,0,0,3,0,no
SYSTEM0,system,,PORz_OUT; RESETSTATz; RESET_REQz,3,0,0,3,0,0,0,0,0,no
UART0,uart,main_uart0,UART0_RXD; UART0_TXD,2,2,0,0,0,0,0,0,0,yes
UART1,uart,main_uart1,UART1_RXD; UART1_TXD,2,2,0,0,0,0,0,0,0,yes
UART2,uart,main_uart2,UART2_TXD,1,1,0,0,0,0,0,0,0,yes
USB0,usb,,USB0_DM; USB0_DP; USB0_DRVVBUS; USB0_ID; USB0_RCALIB; USB0_VBUS,6,0,0,0,6,0,0,0,0,no
